설치주소,기구종류,기구수량,설치년도,관리주기,관리부서,데이터기준일자
전라북도 정읍시 북면 복흥리 774(북면 용북길 319복흥보건소 옆),"허리돌리기, 상체근육풀기,파도타기",3,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 남산리 290-1(북면 이문길 43 농협창고앞),"파도타기, 공중걷기, 허리돌리기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 마정리 106-18(북면 평촌2길 52-12 모정앞),"파도타기, 상체근육풀기,허리돌리기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 남산리 641-10(북면 원당길 52-4 경로당주변공터),"물결타기, 상체근육풀기, 허리돌리기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 마정리 578(북면 마태길 29 복지회관 앞 모정),"공중걷기, 양팔로프당기기",2,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 마정리 706-13(북면 연지길 24 연지마을 경로당 부지),"양팔줄당기기, 허리돌리기, 파도타기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 한교리 366-31(북면 원한교2길 28 원한교마을회관 부지),"상체근육풀기,허리돌리기, 하늘걷기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 화해리 344-2(원불교화해성지),"허리돌리기, 양팔로프당기기, 하늘걷기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 복흥리 342-1(북면 탑성길 1 탑성마을회관 부지),"허리돌리기, 상체근육풀기",2,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 태곡리 126-1,"파도타기, 허리돌리기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 한교리 984(복지회관),"어깨유연성+상체근육풀기, 허리돌리기, 하늘걷기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 장학1길 73-1(마을회관),"허리돌리기+달리기, 하늘걷기, 물결타기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 원승부2길 5(마을회관),"어깨유연성+상체근육풀기, 오금펴기, 하늘걷기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 원오류길 40(당산제 광장),"허리돌리기+달리기,하늘걷기,물결타기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 보림리 805-2(모정 옆),"허리돌리기+달리기,하늘걷기, 상체근육풀기",3,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 마정리 835-3번지(경로당 앞),"양팔줄당기기+하늘걷기, 상체근육풀기+허리돌리기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 보림리 668-1(가정마을 모정 옆),"오금펴기+줄당기기, 어깨유연성+상체근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 남산리 49-2(오산마을 모정 옆),"상체근육풀기+허리돌리기, 달리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 화해리 87-12,"줄당기기+상체근육풀기, 하늘걷기, 물결타기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 화해리 22-2,"허리돌리기+공중걷기, 큰활차머신+양팔줄당기기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 신평리 249-3,"상체근육풀기+양팔줄당기기, 허리돌리기+달리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 정읍북로 631-26(성원아파트 모정 앞),"싸이클+등허리지압기, 하늘걷기+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 접지리 1179(소공원),"줄당기기1,허리돌리기1,등허리근육풀기1,양팔끌어당기기1",4,2005,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 천원리 535-4(경로당),"줄당기기1,롤링웨이스트1,허리돌리기,",3,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 대흥리 866(대흥통합경로당),"상체근육풀기1,줄당기기1,철봉1,허리돌리기1",4,2005,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 신면572-3(소공원),"양팔줄당기기1,온몸허리돌리기1",2,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 하부리594-1(경로당),"양팔줄당기기1,온몸허리돌리기1",2,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 천원리208-3(경로당),전신하늘걷기1+크로스컨츄리1,1,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 신면리828-39(경로당),전신하늘걷기1+크로스컨츄리1,1,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 접지리 852(모정),"온몸허리돌리기+파도타기,어깨근육풀기+하늘걷기",2,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 천원리 96-4(면사무소 뒷산),"하늘걷기2,허리돌리기1,상체근육풀기1,달리기1",5,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 천원리 96-4(작은목욕탕),"온몸스텝밟기1,노젓기1",2,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 대흥리 429(경로당),"크로스컨츄리1,사이드파도타기1,상체근육풀기1,온몸들어올리기1",4,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 마석리 289-1(경로당),"사이드파도타기1,상체근육풀기1,크로스컨츄리1",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 연월리 222-5,"상체근육풀기1,허리돌리기1,싸이클&등허리지압기1,줄당기기1",4,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 단곡리 52-14(왕심마을회관),"허리돌리기1,하늘걷기1",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 등천리 428-7(신등마을회관),달리기&하늘걷기1,1,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입압면 신면리 757-4(마을회관),"줄당기기1,상체근육풀기1,허리돌리기1,하늘걷기1",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 재내길 84(마을회관),"하늘걷기&등지압기1,달리기&허리돌리기1,상체근육풀기&줄당기기1",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 차단길30-2(마을회관),"하늘걷기&등지압기1,달리기&허리돌리기1,상체근육풀기&줄당기기1",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 가리대1길 56(마을회관),"하늘걷기&등지압기1,달리기&허리돌리기1,상체근육풀기&줄당기기1",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 원접길64(마을회관),"하늘걷기&등지압기1,달리기&허리돌리기1,상체근육풀기&줄당기기1",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 봉양리 464-5(모정 옆),허리돌리기+하늘걷기,1,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 봉양리 539-7(모정 옆),어깨유연성+허리돌리기,1,2019,상시,정읍시 시설관리사업소,2022-12-14
