체육시설명,도로명주소,지번주소
신대리 동네체육시설물,경상북도 영천시 금호읍 대구대길 238-9  ,경상북도 영천시 금호읍 신대리 651-5  
삼창3리 경로당(공터),경상북도 영천시 화남면 한천길 52-9  ,경상북도 영천시 화남면 삼창리 531-2 삼창3리마을회관  
샛마을 쉼터,경북 영천시 대창면 대창리 1076-153  ,경북 영천시 대창면 대창리 1076-153  
선천1리 마을회관,경상북도 영천시 화남면 학지길 47 선천1리 마을회관,경상북도 영천시 화남면 선천리 703 선천1리 마을회관
창하리 마을회관 운동기구,경상북도 영천시 고경면 호국로 458 마을회관 앞,경상북도 영천시 고경면 창하리 713-18  
파계리 동네체육시설,경상북도 영천시 고경면 용담로 1809  ,경상북도 영천시 고경면 파계리 239 파계리경로당  
내포리 동네체육시설,경상북도 영천시 북안면 개미곡길 3  ,경상북도 영천시 북안면 내포리 51  
당2리 체육시설,   ,경북 영천시 북안면 당리 845  
반정3리 체육시설,   ,경북 영천시 북안면 반정리 산 67-4  
송포1리 체육시설,경상북도 영천시 북안면 엿들길 10-4  ,경상북도 영천시 북안면 송포리 775-3  
송포2리 체육시설,   ,경북 영천시 북안면 송포리 251-1  
원당리 체육시설,경북 영천시 북안면 원당리 96  ,경북 영천시 북안면 원당리 96  
유상1리 동네체육시설,   ,경북 영천시 북안면 유상리 631-1 유상
임포2리 체육시설,   ,경북 영천시 북안면 임포리 230-3  
자포리 체육시설,경상북도 영천시 북안면 송학길 10-2  ,경상북도 영천시 북안면 자포리 374-1 자포경로회관  
금노8통야외운동기구,경북 영천시 금노동 375-32  ,경북 영천시 금노동 375-32 팔각정 앞
도동 야외운동기구,"경상북도 영천시 도동큰길 30(도동, 천마빌라)  ",경상북도 영천시 도동 511-1 천마빌라 천마빌라 앞
삼매1리소공원,   ,경북 영천시 임고면 삼매리 1274  
원촌1리 동네체육시설물,경상북도 영천시 청통면 창마길 16  ,경상북도 영천시 청통면 원촌리 516-125  
덕연리 마을공원,   ,경북 영천시 임고면 덕연리 989-32  
우항리 마을공터,   ,경북 영천시 임고면 우항리 1051-147  
우항리 연하지공터,   ,경북 영천시 임고면 우항리 산 9  
석계리 동네체육시설,경상북도 영천시 고경면 생계길 6-9  ,경상북도 영천시 고경면 석계리 162 석계리회관  
파계리 동네체육시설,경상북도 영천시 고경면 용담로 1809  ,경상북도 영천시 고경면 파계리 239 파계리경로당  
조곡리 야외운동기구,"경상북도 영천시 대창면 금창로 785 건지발10,681,경로당",경상북도 영천시 대창면 조곡리 247 248-1
도동 야외운동기구,"경상북도 영천시 도동큰길 30(도동, 천마빌라)  ",경상북도 영천시 도동 511-1 천마빌라  
자천1리 동네체육시설,경상북도 영천시 화북면 천문로 2177-10 자천리 1428-3번지 건너편,경상북도 영천시 화북면 자천리 2459 자천리 1428-3번지 건너편
정각2리 동네체육시설,경북 영천시 화북면 정각리 375  ,경북 영천시 화북면 정각리 375 정각리 375
강회리 마을입구 생활체육시설,경북 영천시 대창면 대창리 45  ,경북 영천시 대창면 대창리 45  
양평2리 마을공터,경상북도 영천시 임고면 수평길 52 임고면 양평리 911-3,경상북도 영천시 임고면 양평리 385 임고면 양평리 911-3
계지2리쉼터 동네체육시설물,경상북도 영천시 청통면 금송로 1227-6 계지리 948-43,경상북도 영천시 청통면 계지리 723-4 계지리 948-43
대평쉼터 동네체육시설물,경북 영천시 청통면 대평리 695-4  ,경북 영천시 청통면 대평리 695-4 대평리 1317-7
면민복지회관 동네체육시설물,경상북도 영천시 청통면 청통초등길 11  ,경상북도 영천시 청통면 치일리 13 청통보건지소 치일리 18-5
송천리 동네체육시설물,경상북도 영천시 청통면 관방길 35  ,경상북도 영천시 청통면 송천리 379-2  
원촌2리 동네체육시설물,경상북도 영천시 청통면 오천길 20  ,경상북도 영천시 청통면 원촌리 289-1 원촌2리 경로당  
은해사 집단시설지구 다목적마당,   ,경북 영천시 청통면 치일리 98-7  
죽정쉼터 동네체육시설물,   ,경북 영천시 청통면 죽정리 484 죽정리 487
호당1리 동네체육시설물,경상북도 영천시 청통면 호당1길 47 호당리 324-2,경상북도 영천시 청통면 호당리 324-2 호당리 324-2
금대 새터 쉼터,경상북도 영천시 임고면  ,경상북도 영천시 임고면 금대리 1029-1
돌빼기 쉼터,경상북도 영천시 임고면  ,경상북도 영천시 임고면 양평리 314
부래산 공원,경상북도 영천시 임고면  ,경상북도 영천시 임고면 우항리851
수성 구만 쉼터,경상북도 영천시 임고면  ,경상북도 영천시 임고면 수성리 1291-1
수성 중리 쉼터,경상북도 영천시 임고면  ,경상북도 영천시 임고면 수성리 919-5
임고면민복지회관,경상북도 영천시 임고면  ,경상북도 영천시 임고면 양항리 616-1
황강 쉼터,경상북도 영천시 임고면  ,경상북도 영천시 임고면 황강리 290
효2리 경로당,경상북도 영천시 임고면  ,경상북도 영천시 임고면 효리 235
계포리 동네체육시설물,경상북도 영천시 청통면 대재길 34 계포 대재 경로당,경상북도 영천시 청통면 계포리 150-1 계포 대재 경로당
용천리 동네체육시설물,경상북도 영천시 청통면 용호길 28 용천리 경로당,경상북도 영천시 청통면 용천리 391 용천리 경로당
남성리 동네체육시설물,경상북도 영천시 금호읍 남성길 83-21  ,경상북도 영천시 금호읍 남성리 557  
도천2리 체육시설,경상북도 영천시 북안면 연당길 77-2 도천리 116-5,경상북도 영천시 북안면 도천리 116-1 도천리 116-5
삼창2리 면사무소 옆 공원,경상북도 영천시 화남면 신화로 1205  ,경상북도 영천시 화남면 삼창리 1027-4  
화산1리 경로당앞,경상북도 영천시 화산면 화촌길 65  ,경상북도 영천시 화산면 화산리 1092 경로당 앞
효정1리 경로당앞,경상북도 영천시 화산면 옛서당길 74  ,경상북도 영천시 화산면 효정리 494-4 효정1리경로당 효정1리 경로당 앞
삼매2리 마을공터,   ,경북 영천시 임고면 삼매리 1027-1  
금대찜터경로당,경상북도 영천시 임고면 금대2길 5  ,경상북도 영천시 임고면 금대리 126-3  
냉천리동네체육시설,경북 영천시 금호읍 냉천리 258  ,경북 영천시 금호읍 냉천리 258  
매호2리 경로당,경상북도 영천시 임고면 맘실길 72  ,경상북도 영천시 임고면 매호리 117-5 매호2리 경로당  
사2리 경로당,경상북도 영천시 임고면 운주로 1186  ,경상북도 영천시 임고면 사리 415 사2리회관  
삼호리동네체육시설,경상북도 영천시 금호읍 강정길 48  ,경상북도 영천시 금호읍 삼호리 930-9  
덕암리 동네체육시설,경상북도 영천시 고경면 심청길 20  ,경상북도 영천시 고경면 덕암리 230  
삼귀리 동네체육시설,경상북도 영천시 고경면 차당실2길 20  ,경상북도 영천시 고경면 삼귀리 51 삼귀리경로당  
청정1리 동네체육시설,경북 영천시 고경면 청정리 762  ,경북 영천시 고경면 청정리 762  
강회리 마음경로당,경상북도 영천시 대창면 강회3길 70  ,경상북도 영천시 대창면 강회리 432-1  
구지리 마을회관 건강관리실,경상북도 영천시 대창면 용대로 804-1  ,경상북도 영천시 대창면 구지리 561-5 구지리마을회관  
구지리 쉼터 야외운동시설,경북 영천시 대창면 구지리 444  ,경북 영천시 대창면 구지리 444  
대재리 강변공원 야외운동시설,경북 영천시 대창면 대재리 862-40  ,경북 영천시 대창면 대재리 862-40  
대창면민복지회관 주민체력단련실,경상북도 영천시 대창면 대창시장길 19-3  ,경상북도 영천시 대창면 대창리 1076-11  
병암리 야외운동시설,경상북도 영천시 대창면 병암길 124-3  ,경상북도 영천시 대창면 병암리 260  
어방리 야외운동시설,경상북도 영천시 대창면 효원길 9-3  ,경상북도 영천시 대창면 어방리 274 어방리경로당  
오길 쉼터,   ,경북 영천시 대창면 오길리 882-1  
오길2리 야외운동시설,   ,경북 영천시 대창면 오길리 154  
용호리 동네체육시설,   ,경북 영천시 대창면 용호리 746  
용호리 야외운동시설,   ,경북 영천시 대창면 용호리 555-4  
오길숲 야외 운동시설,경북 영천시 대창면 오길리 861  ,경북 영천시 대창면 오길리 861  
고수부지(금호교회 뒤편) 동네체육시설,경상북도 영천시 금호읍 금호로 102-64  ,경상북도 영천시 금호읍 냉천리 687-2 냉천강변공중화장실  
관정2리 동네체육시설,경상북도 영천시 금호읍 관황길 4  ,경상북도 영천시 금호읍 관정리 261-1  
교대리 동네체육시설(금호읍행정복지센터),경상북도 영천시 금호읍 금호로 153  ,경상북도 영천시 금호읍 교대리 149-2 금호읍사무소  
대곡1리 동네체육시설,경상북도 영천시 금호읍 대곡길 57-4  ,경상북도 영천시 금호읍 대곡리 159-1  
대곡2리 동네체육시설,경상북도 영천시 금호읍 대배길 50  ,경상북도 영천시 금호읍 대곡리 403-1 대곡2리회관  
삼호2리 동네체육시설,경상북도 영천시 금호읍 가라골길 25-1  ,경상북도 영천시 금호읍 삼호리 295-1 삼호리 294(실제위치)
신대리 동네체육시설,경상북도 영천시 금호읍 신대길 28  ,경상북도 영천시 금호읍 신대리 64-1  
안천2리 경로당(공터),경상북도 영천시 화남면 능계2길 14 안천2리경로당(공터),경상북도 영천시 화남면 안천리 863-1 안천2리경로당  
어은리 동네체육시설,경상북도 영천시 금호읍 어은길 131-5  ,경상북도 영천시 금호읍 냉천리 13-30 어은리 420(실제주소)
원기리 동네체육시설(최무선과학관),경상북도 영천시 금호읍 창산길 100-29  ,경상북도 영천시 금호읍 원기리 277 최무선과학관
주남공원,경북 영천시 금노동 604-17  ,경북 영천시 금노동 604-17 금노동
황정리 동네체육시설,경상북도 영천시 금호읍 관황길 49-4  ,경상북도 영천시 금호읍 황정리 412-2 황정리 410-1(실제위치)
석동경로당 ,경상북도 영천시 석동1길 14 (녹전동)  ,경상북도 영천시 녹전동 385 석동경로당
관정리 동네체육시설,경상북도 영천시 금호읍 관황길 4  ,경상북도 영천시 금호읍 관정리 261-1  
원제리 동네체육시설,경상북도 영천시 금호읍 원제1길 27  ,경상북도 영천시 금호읍 원제리 432 원제리경로당  
당지1리,경상북도 영천시 화산면 섭재골길 24  ,경상북도 영천시 화산면 당지리 109 당지1리마을회관 당지리 336-4
당지2리,경상북도 영천시 화산면 산성길 5-10  ,경상북도 영천시 화산면 당지리 497-2 당지2리 경로당
대기리,경상북도 영천시 화산면 대암길 128  ,경상북도 영천시 화산면 대기리 405  
대안3리,경상북도 영천시 화산면 신정길 12  ,경상북도 영천시 화산면 대안리 1206-7 대안3리노인정  
덕암1리,경상북도 영천시 화산면 덕암길 12-5  ,경상북도 영천시 화산면 덕암리 548-84 덕암경로당  
백학산 및 가상리,경상북도 영천시 화산면 가래실로 390  ,경상북도 영천시 화산면 가상리 680 마을회관 옆 공원
삼부리,경상북도 영천시 화산면 가래실로 46-27 삼부리 114,경상북도 영천시 화산면 삼부리 79-2 (삼부못 아래 도로변 공터)
석촌리,경상북도 영천시 화산면 석촌1길 47-7  ,경상북도 영천시 화산면 석촌리 100 쉼터 팔각정
화산2리 ,경상북도 영천시 화산면 효지길 86  ,경상북도 영천시 화산면 화산리 186-5 맞은편 팔각정 공터(화산리 183)
화산체육공원,경상북도 영천시 화산면 장수로 908  ,경상북도 영천시 화산면 유성리 571 화산파출소 옆(체육공원)
범어경로당 체육시설,경상북도 영천시 범어2길 187 (범어동)  ,경상북도 영천시 범어동 445-1  
작산 소공원 체육시설,경상북도 영천시 범어1길 30 (작산동)  ,경상북도 영천시 작산동 89-3  
우로지 자연생태공원 체육시설,경북 영천시 망정동 432  ,경북 영천시 망정동 432  
도암1리 동네체육시설,경상북도 영천시 고경면 호국로 674-11  ,경상북도 영천시 고경면 도암리 497-1 운산동경로당  
도암2리 동네체육시설,경북 영천시 고경면 도암리 614  ,경북 영천시 고경면 도암리 614  
오류리 동네체육시설,경상북도 영천시 고경면 거곡로 591  ,경상북도 영천시 고경면 오류리 374-4 오류리회관  
용전1리 동네체육시설,경상북도 영천시 고경면 추곡길 151  ,경상북도 영천시 고경면 용전리 744 용전1리회관  
창하리 동네체육시설,경북 영천시 고경면 창하리 649-2  ,경북 영천시 고경면 창하리 649-2  
33통 체육시설,경상북도 영천시 모란1길 16 (야사동)  ,경상북도 영천시 야사동 350-1 청구타운  
유성타워맨션 내 체육시설,"경상북도 영천시 영천고1길 76 (야사동, 유성타워맨션)  ",경상북도 영천시 야사동 211-4 유성타워맨션  
