연번,관리번호,위치,설치장소,기구명,데이터기준일
270,용진읍-용흥리-부평마을,부평마을 금성제,부평마을 금성제,다리밀기,2023-02-01
271,용진읍-신지리-원주마을,용진읍 완주로 716,원주아파트 내,작은활차,2023-02-01
272,용진읍-신지리-원주마을,용진읍 완주로 716,원주아파트 내,자유철봉,2023-02-01
273,용진읍-신지리-원주마을,용진읍 완주로 716,원주아파트 내,구름걷기,2023-02-01
274,용진읍-신지리-용복마을,용진읍 신지용복1길 53,용복경로당 마당,허리돌리기,2023-02-01
275,용진읍-신지리-용복마을,용진읍 신지용복1길 53,용복경로당 마당,작은활차머신,2023-02-01
276,용진읍-신지리-대영아파트-1,용진읍 완주로 812,대영아파트 관리사무소 앞,허리돌리기,2023-02-01
277,용진읍-신지리-대영아파트-1,용진읍 완주로 812,대영아파트 관리사무소 앞,지압마사지,2023-02-01
278,용진읍-신지리-대영아파트-2,용진읍 완주로 812,대영아파트 106동 놀이터,파도타기,2023-02-01
279,용진읍-신지리-대영아파트-2,용진읍 완주로 812,대영아파트 106동 놀이터,하늘걷기,2023-02-01
280,용진읍-상삼리-전상삼마을,용진읍 상삼1길 43-10,전상삼경로당,트위스트,2023-02-01
281,용진읍-상삼리-전상삼마을,용진읍 상삼1길 43-10,전상삼경로당,큰활차머신,2023-02-01
282,용진읍-상삼리-용암마을-01,용진읍 상삼용암1길 36,용암마을 모정 마당,허리돌리기,2023-02-01
283,용진읍-상삼리-용암마을-01,용진읍 상삼용암1길 36,용암마을 모정 마당,허리돌리기,2023-02-01
284,용진읍-상삼리-용교마을,용진읍 구억명덕로 343-9,용교경로회관 앞,허리돌리기,2023-02-01
285,용진읍-상삼리-용교마을,용진읍 구억명덕로 343-9,용교경로회관 앞,구름걷기,2023-02-01
286,용진읍-구억리-효천마을,용진읍 목효로 236 ,효천경로당 뒤,다리뻗치기,2023-02-01
287,용진읍-구억리-하이마을,용진읍 하이1길 25,하이경로당 옆 버스정류장 부지,다리뻗치기+허리돌리기,2023-02-01
288,용진읍-구억리-하이마을,용진읍 하이1길 25,하이경로당 옆 버스정류장 부지,허리돌리기,2023-02-01
289,용진읍-구억리-하이마을,용진읍 하이1길 25,하이경로당 옆 버스정류장 부지,큰활차머신+작은활차머신,2023-02-01
290,용진읍-구억리-하이마을,용진읍 하이1길 25,하이경로당 옆 버스정류장 부지,파도타기+역기올리기,2023-02-01
291,용진읍-구억리-하이마을,용진읍 하이1길 25,하이경로당 옆 버스정류장 부지,윗몸일으키기+노젓기,2023-02-01
