시설명,주소,기구수량,기구현황,담당부서
생철마을공원,경상남도 김해시 생림면 안양로 22,6,하늘걷기(1)+허리돌리기(1)+달리기(1)+자전거타기(1)+윗몸일으키기(1)+가로타기(1),생림면
상동면대감운동장(운동기구),경상남도 김해시 상동면 대감리 499-2번지,4,러닝머신(2)+옆파도타기(1)+허리돌리기(1),상동면
상동면묵방마을회관(운동기구),경상남도 김해시 상동면 묵방리 953-2번지,4,고급벨트마사지기(1)+복합형(공중걷기.양팔줄당기기)+복합형(허리돌리기.가로타기)+복합형(팔운동+자전거타기),상동면
상동면상동운동장(운동기구),경상남도 김해시 상동면 대감리 248번지,4,복합형3기(공중걷기.옆파도타기/ 공중걷기. 양팔줄달기기/ 허리돌리기.작은활차머신),상동면
상동면용산마을회관(운동기구),경상남도 김해시 상동면 여차리 55-2번지,1,복합형1기(공중걷기. 양팔줄당기기),상동면
상동면장척마을회관일원(운동기구),경상남도 김해시 상동면 묵방리 405-1번지,1,복합형1기(공중걷기. 양팔줄당기기),상동면
선암마을(경로당과 회관 사이),경상남도 김해시 대동면 대동로 54,3, 온몸근육풀기(1)+온몸허리돌리기(1)+옆파도타기(1),대동면
수안마을(마을회관 앞),경상남도 김해시 대동면 대동로 132,4,가로하늘타기+앉아밀기(1)+팔근육기르기+양팔줄당기기(1)+원그리기+앉아밀어주기(1)+하늘걷기+달리기(1),대동면
주중마을(경로당 앞),경상남도 김해시 대동면 대동로269번길 51,4,역기밀기(1)+허리돌리기+달리기(1)+윗몸일으키기+가로타기(1)+온몸근육풀기(1) ,대동면
성안마을(경로당 앞),경상남도 김해시 대동면 대동로305번길 15,2,하늘걷기+서서허리돌리기(1)+온몸근육풀기+앉아허리돌리기(1),대동면
신명마을(마을회관 앞),경상남도 김해시 대동면 대동로274번길 81-4,2,온몸돌리기+온몸근육풀기(1)+마라톤운동+공중걷기(1),대동면
신안마을(마을회관 옆),경상남도 김해시 대동면 대동로450번길 74,4,허리맛사지+자전거타기(1)+달리기+하늘걷기(1)+서서허리돌리기+하늘걷기(1)+가로타기+윗몸일으키기(1)+3단 철봉(1) ,대동면
시례마을(1)(마을회관 앞),경상남도 김해시 대동면 대동로417번길 84-4,4,하늘걷기(1)+원그리기(1)+서서 허리돌리기(1)+가로 허리맛사지기+세로 허리맛사지기(1),대동면
시례마을(2)(경로당 뒤),경상남도 김해시 대동면 대동로417번길 130-1,4,서서허리돌리기(1)+윗몸일으키기(1)+오금펴기(1)+지압용자갈길(1),대동면
안막3구마을(마을회관 앞),경상남도 김해시 대동면 동남로41번길 13-4,5,하늘걷기+달리기(1)+하늘걷기+가로타기(1)+자전거타기+허리맛사지(1)+윗몸일으키기+역기들어올리기(1)+어깨돌리기 (1) ,대동면
괴정마을,경상남도 김해시 대동면 괴정리 150-1,2,온몸근육풀기+ 온몸돌리기(1)+하늘걷기+가로타기(1),대동면
감천마을,경상남도 김해시 대동면 ,3,온몸근육풀기(1)+서서허리돌리기(1)+팔근육기르기(1) ,대동면
감내마을,경상남도 김해시 대동면 대동로983번길 17,3,하늘걷기+가로타기(1)+자전거타기+허리맛사지(1)+하늘걷기+달리기(1),대동면
고암마을,경상남도 김해시 대동면 덕산리 118-4,4,가로타기+자전거타기(1)+자전거타기+팔운동(1)+하늘걷기+서서허리돌리기(1)+달리기+자전거타기(1),대동면
지나마을(마을회관 앞),경상남도 김해시 대동면 조눌리,2,달리기+팔관절운동(1)+하늘걷기+허리돌리기(1),대동면
천문대일원,경상남도 김해시 삼계동 산지번 2-1,5,윗몸일으키기(1)+공중걷기(1)+철봉(1)+허리돌리기(1)+역기당기기(1),북부동
새동네공원,경상남도 김해시 구산동 281,2,어깨근육풀기(1)+하늘걷기(1),북부동
신어천변,경상남도 김해시 신어천변,8,거꾸리(1)+2인용체어풀(1)+달리기(1)+체스트프레스(1)+입식헬스싸이클및공중걷기(1)+레그프레스(1)+온몸근육풀기및양팔줄당기기(1)+윗몸일으키기및허리돌리기(1),삼안동
양장골마을 입구,경상남도 김해시 불암동 120-2 일원,8,허리돌리기(1)+팔운동(1)+하늘걷기(1)+달리기(1)+양팔줄당기기+가로타기(1)+윗몸일으키기+가로타기(1)+자전거타기+가로타기(1)+하늘걷기+허리돌리기(1),불암동
불암지하차도변,경상남도 김해시 불암동 172-1,3,윗몸일으키기(1)+허리돌리기(1)+레그프레스(1),불암동
선암마을 정자,경상남도 김해시 불암동 220-375,2,자전거타기+가로타기(1)+달리기+팔운동(1),불암동
불암공원(미니축구장),경상남도 김해시 불암동 213-5,5,레그익스텐션(1)+하늘걷기(1)+자전거타기(1)+가로타기(1)+역기밀기(1),불암동
분도마을 바깥도로,경상남도 김해시 불암동 232-1,7,다리밀기(1)+하늘걷기(1)+허리돌리기(1)+달리기(1)+팔운동+어깨운동(1)+역기밀기(1)+가로타기(1),불암동
명동정수장,경상남도 김해시 한림면 김해대로1347,4,역기밀기+어깨운동(1)+양팔줄당기기+하늘걷기(1)+허리돌리기+팔관절운동(1)+거꾸로매달리기(1),명동정수과
분도마을 다목적구장,경상남도 김해시 불암동 354-2,6,역기돌리기(1)+허리돌리기(1)+하늘걷기(1)+윗몸일으키기(1)+자전거타기(1)+평형봉(1),대중교통과
