시설명,주소,기구수량,기구현황,담당부서
양지마을쉼터,경상남도 김해시 생림면 도요리 689-9,3,하늘걷기(1)+허리돌리기(1)+온몸근육(1),공원녹지과
생림 미래숲,경상남도 김해시 생림면 마사리 1249-1 일원,5,양팔줄당기기+자전거1+달리기+하늘걷기1+자전거+윗몸일으키기1+양팔줄당기기+가로타기1+하늘걷기+허리돌리기1,공원녹지과
봉림정자쉼터,경상남도 김해시 생림면 봉림리 1262-3,3,온몸역기내리기+온몸근유풀기(1)+공중걷기+옆파도타기(1)+허리돌리기+등지압기(1),공원녹지과
학산마을 쉼터 ,경상남도 김해시 생림면 봉림리 474-1,3,하늘걷기+허리돌리기(1)+가로타기+팔관절(1)+역기밀기+역기당기기(1),공원녹지과
하사촌마을 쉼터,경상남도 김해시 생림면 사촌리 476-2,3,하늘걷기+허리돌리기(1)+가로타기+팔관절(1)+양팔줄당기기+자전거(1),공원녹지과
경동마을 쉼터,"경상남도 김해시 생림면 생림리 444, 950-2",2,하늘걷기+허리돌리기(1)+가로타기+팔관절(1),공원녹지과
무척산시민의숲,경상남도 김해시 생림면 생철리 158,4,허리돌리기+하늘걷기(1)+달리기+팔관절(1)+가로타기+양팔운동(1)+하늘걷기+자전거(1),공원녹지과
성포마을사랑의쉼터,"경상남도 김해시 생림면 생철리 994-1,2",3,가로타기(1)+하늘걷기(1)+허리돌리기(1),공원녹지과
선곡마을 쉼터,경상남도 김해시 생림면 안양로156번길21,2,하늘걷기+허리돌리기(1)+가로타기+팔관절(1),공원녹지과
안양마을 쉼터,경상남도 김해시 생림면 안양리 528-1,2,하늘걷기+허리돌리기(1)+가로타기+팔관절(1),공원녹지과
생림창암마을쉼터,경상남도 김해시 생림면 안양리 819-3,3,하늘걷기+허리돌리기(1)+가로타기+양팔운동(1)+자전거+자전거(1),공원녹지과
안금마을쉼터,경상남도 김해시 생림면 인제로 694번길 5,2,하늘걷기+양팔줄당기기(1)+가로타기+허리돌리기(1),공원녹지과
쌍용예가뒷소공원,경상남도 김해시 신문동 쌍용예가아파트 뒷 소공원,9,하늘걷기+허리돌리기(2)+가로타기+자전거타기(2)+팔운동+어깨운동(2)+달리기+자전기(1)+가로타기+윗몸일으키기(1)+하늘걷기+줄당기기(1),공원녹지과
어방녹지대,경상남도 김해시 어방동 1045-1,5,하늘걷기(1)+가로타기(1)+허리돌리기(1)+역기당기기(1)+물구나무서기(1),공원녹지과
어방녹지대,경상남도 김해시 어방동 1071,3,허리돌리기+하늘걷기(1)+달리기+팔관절(1)+자전거+가로타기(1),공원녹지과
어방녹지대,경상남도 김해시 어방동 1076,4,허리돌리기(1)+역기당기기(1)+하늘걷기(1)+윗몸일으키기(1),공원녹지과
어방녹지대,경상남도 김해시 어방동 1076번지,4,레그프레스1+워밍암1+스트레칭로러1+롤링웨이스트1,공원녹지과
어방동 소공원,경상남도 김해시 어방동 520-7,3,가로타기+허리돌리기1+하늘걷기+양팔줄당기기1+자전거+등맛사지1,공원녹지과
미소지움아파트뒤 소공원,경상남도 김해시 어방동 723,5,달리기(1)+양팔줄당기기(1)+가로타기(1)+윗몸일으키키(1)+어깨돌리기(1),공원녹지과
후포마을쉼터,경상남도 김해시 유하동 25-3 ,3,윗몸일으키기(1)+하늘걷기(1)+허리돌리기(1),공원녹지과
율하녹지대,경상남도 김해시 율하동 1403-1,3,하늘걷기+허리돌리기1+가로타기+자전거타기1+등맛사지+팔관절1,공원녹지과
태정마을 쉼터,경상남도 김해시 응달동 672,3,허리돌리기(1)+가로타기(1)+하늘걷기(1),공원녹지과
전하동 배수펌프장 앞,경상남도 김해시 전하동 1225-1,3,앉아다리밀기+양팔줄당기기1+어깨운동+허리돌리기1+노젓기+등맛사지1,공원녹지과
전하1통 마을회관,경상남도 김해시 전하동 341,4,가로타기+하늘걷기1+역기밀기+앉아다리밀기1+달리기+허리돌리기1+어깨운동+양팔줄당기기1,공원녹지과
시민의숲,경상남도 김해시 전하동 945 외 1,8,역기올리기+다리뻗치기(1)+하늘걷기+허리돌리기(1)+옆파도타기+마라톤(1)+역기내리기+온몸근육풀기(1)+평행봉+자유철봉(1)+하늘걷기+옆파도타기(1)+다리뻗치기+허리돌리기(1),공원녹지과
주촌 농소리 마을회관 앞,경상남도 김해시 주촌면 농소리 646,3,양팔줄당기기+앉아다리밀기1+하늘걷기+가로타기1+역기밀기+역기당기기1,공원녹지과
덕암마을쉼터,경상남도 김해시 주촌면 덕암리 446-1,3,가로타기+허리돌리기1+하늘걷기+양팔줄당기기1+다리안자밀기+등맛사지1,공원녹지과
망덕마을쉼터,경상남도 김해시 주촌면 망덕리 884-1,4,가로타기+양팔줄당기기1+달리기+팔관절1+하늘걷기+허리돌리기1+역기밀기+역기당기기1,공원녹지과
가곡마을 쉼터,경상남도 김해시 주촌면 양동리 258-1,2,온몸역기내리기+온몸근유풀기(1)+공중걷기+옆파도타기(1),공원녹지과
주촌게이트볼장내,경상남도 김해시 주촌면 천곡리 208,3,가로타기+양팔줄당기기1+자전거+온몸근육1+허리돌리기+하늘걷기1,공원녹지과
지내동소공원,경상남도 김해시 지내동 520 일원,4,허리돌리기+하늘걷기(1)+역기올리기+다리뻗치기(1)+자전거+가로타기(1)+거꾸로 매달리기(1),공원녹지과
고모마을 쉼터,경상남도 김해시 진례면 고모리 296-2,2,허리돌리기(1)+달리기(1),공원녹지과
개동마을 쉼터,경상남도 김해시 진례면 담안리 103-1 주변,2,허리돌리기+하늘걷기(1)+양팔줄당기기+등마사지(1),공원녹지과
진레 용전마을,경상남도 김해시 진례면 서부로860번길 67,3,크로스컨트리(1)+롤링웨이스트(1)+터닝트위스트(1),공원녹지과
진례 신월마을,경상남도 김해시 진례면 서부로886번길 12,3,크로스컨트리(1)+롤링웨이스트(1)+터닝트위스트(1),공원녹지과
진례 오룡마을,경상남도 김해시 진례면 송현리 40-3,2,가로타기+자전거1+하늘걷기+다리앉아밀기1,공원녹지과
진례평지마을,경상남도 김해시 진례면 신안리 1047-13,2,하늘걷기+허리돌리기(1)+가로타기+팔관절(1),공원녹지과
진례 신안마을,경상남도 김해시 진례면 신안리 457-1,1,허리돌리기+하늘걷기(1),공원녹지과
신월마을쉼터,경상남도 김해시 진례면 신월리 620-31,4,가로타기+양팔(1)+하늘걷기+허리돌리기(1)+하늘걷기+팔관절(1)+하늘걷기+등마사지(1),공원녹지과
진례 초전마을,경상남도 김해시 진례면 진례로 102,3,허리돌리기(1)+하늘걷기(1)+온몸근육운동(1),공원녹지과
진례 청천마을,경상남도 김해시 진례면 청천리 789-5,3,가로타기+허리돌리기1+하늘걷기+양팔줄당기기1+다리안자밀기+등맛사지1,공원녹지과
본산마을 쉼터,경상남도 김해시 진영읍 본산리 719-1일원,6,가로타기+양팔(1)+가로타기+자전거(1)+가로타기+윗몸일으키기(1)+하늘걷기+등마사지(1)+하늘걷기+자전거(1)+하늘걷기+허리돌리기(1),공원녹지과
외촌마을쉼터,경상남도 김해시 진영읍 서부로 224-19,2,허리돌리기+하늘걷기(1)+자전거+가로타기(1),공원녹지과
설창마을 쉼터,경상남도 김해시 진영읍 설창리 614,1,가로타기+양팔줄당기기1,공원녹지과
한빛도서관옆쉼터,경상남도 김해시 진영읍 여래로19번길 10-3,5,마라톤+등허리(1)+온몸역기내리기+자유평행봉(1)+온몸역기올리기+온몸근육풀기(1)+옆 파도타기+양팔줄당기기(1) +허리돌리기+허리돌리기1,공원녹지과
죽곡체육휴게 쉼터,경상남도 김해시 진영읍 죽곡리 2-1,4,철봉(1)+윗몸일으키기(1)+허리돌리기(1)+역기올리기(1),공원녹지과
상룡마을 쉼터,경상남도 김해시 진영읍 진영로454번길159,2,온몸허리돌리기(1)+허리돌리기(1),공원녹지과
서구1동 마을쉼터,경상남도 김해시 진영읍 진영리 385-5 서구1동회관,1,하늘걷기+양팔줄당기기1,공원녹지과
하계마을쉼터,경상남도 김해시 진영읍 하계리 81-2 ,3,크로스컨트리(1)+롤링웨이스트(1)+터닝트위스트(1),공원녹지과
한림가동마을쉼터,경상남도 김해시 한림면 가산리 186-7,4,허리돌리기+하늘걷기(1)+달리기+팔관절(1)+자전거+가로타기(1)+줄당기기+등맛사지(1),공원녹지과
정촌마을쉼터,경상남도 김해시 한림면 금곡리 513-1,3,크로스컨트리(1)+롤링웨이스트(1)+터닝트위스트(1),공원녹지과
한림통일동산,경상남도 김해시 한림면 명동리 1156-10,2,하늘걷기+허리돌리기(1)+가로타기+팔관절(1),공원녹지과
범곡마을 쉼터,경상남도 김해시 한림면 병동리 781,2,하늘걷기+허리돌리기(1)+가로타기+팔관절(1),공원녹지과
망천2구쉼터,경상남도 김해시 한림면 신천리 216-17,3,자전거+하늘걷기(1)+양팔줄당기기+가로타기(1)+양팔운동+달리기(1),공원녹지과
안하공단 쉼터,경상남도 김해시 한림면 안하리 2004-1,5,가로하늘타기(1)+복근기르기(1) +온몸허리돌리기(1)+평행봉(1)+하늘걷기(1),공원녹지과
안하마을 쉼터,경상남도 김해시 한림면 안하리 376,2,하늘걷기+자전거(1)+가로타기+양팔(1),공원녹지과
한림용덕마을쉼터,경상남도 김해시 한림면 용덕237번길 74,2,하늘걷기+허리돌리기(1)+양팔줄당기기+등마사지(1),공원녹지과
한림경전선옆쉼터,경상남도 김해시 한림면 장방리 1253-91,4,다리뻗치기(1)+허리돌리기(1)+하늘걷기(1)+역기올리기(1) - 전량 철거,공원녹지과
한림신봉마을쉼터,경상남도 김해시 한림면 장방리 1317-7,2,하늘걷기+허리돌리기(1)+가로타기+자전거(1),공원녹지과
장방농협옆쉼터,경상남도 김해시 한림면 장방리 336-7,3,허리돌리기+하늘걷기(1)+달리기+팔관절(1)+자전거+가로타기(1),공원녹지과
한림장재마을쉼터,경상남도 김해시 한림면 장재로 191,1,하늘걷기+허리돌리기(1),공원녹지과
낙산마을 쉼터,경상남도 김해시 한림면 한림로 115,1,허리돌리기(1),공원녹지과
시산마을쉼터,경상남도 김해시 한림면 한림로640번길 24-12 시산마을회관,2,허리돌리기(1)+양팔줄당기기기(1),공원녹지과
가산마을 쉼터,경상남도 김해시 한림면 한림로909번길 39-9,3,허리돌리기(1)+팔관절운동(1)+윗몸일으키기(1),공원녹지과
흥동쌈지공원,경상남도 김해시 흥동 306-4,4,자전거+허리돌리기(1)+옆파도타기+온몸근육풀기(1)+하늘걷기+앉아당기기(1)+등허리지압+어깨들어올리기(1),공원녹지과
서부지구소공원,경상남도 김해시 흥동 30-9,3,허리돌리기+하늘걷기(1)+역기올리기+다리뻗치기(1)+옆파도타기+역기내리기 (1),공원녹지과
흥동소공원,경상남도 김해시 흥동 408-3,3,허리돌리기(1)+온몸근육풀기(1)+하늘걷기(1),공원녹지과
흥동 1통 마을쉼터,경상남도 김해시 흥동 680-2,3,가로타기+허리돌리기1+하늘걷기+양팔줄당기기2,공원녹지과
경운산P049,경상남도 김해시 수인사~해맞이데크,4,철봉(1)+허리돌리기(1)+평행봉(1)+윗몸일으키기(1),산림과
경운산P019,경상남도 김해시 내동중학교~경운산 정상,25,윗몸일으키기(5)+역기올리기(2)+평행봉(1)+철봉(3)+당기기(1)+허리돌리기(6)+오금당기기(2)+하늘걷기(3)+마라톤운동(1)+ 파도타기(1),산림과
경운산P057,경상남도 김해시 주촌고개~주공아파트 뒤편,7,역기대(1)+역기올리기(1)+평행봉(1)+철봉(1)+윗몸일으키기(1)+허리돌리기(1)+윗몸일으키기(1),산림과
경운산P021,경상남도 김해시 장신대학교~경운산 정상,40,허리돌리기(1)+팔운동(1)+가로타기(1)+앉아다리밀기(2)+앉아당기기(1)+복근기르기(3)+다리올리기(1)+윗몸일으키기(5)+등허리지압기(1)+평행봉(4)+팔굽혀펴기(1)+구름사다리(1)+거꾸로매달리기(1)+옆파도타기(1)+자전거타기(1)+어깨근육풀기(1)+마라톤운동(1)+철봉(2)+허리돌리기(3)+그네(1)+하늘걷기(2)+당기기(1)+온몸역기올리기(1)+역기대(2)+밧줄타기(1),산림과
금병산P004,경상남도 김해시 여래고개~정상~동창원IC하우스토리,24,윗몸일으키기(4)+등어깨마사지(1)+하늘걷기(1)+평행봉(2)+허리돌리기(3)+팔굽혀펴기(1)+역기대(1),산림과
금병산P023,경상남도 김해시 금산사~정상~베네스빌라,27,철봉(5)+역기올리기(1)+윗몸일으키기(4)+공중뛰기(1)+허리돌리기(1)+마라톤운동(1)+역기대(1)+팔굽혀펴기(2)+구름사다리(1)+오금펴기(1)+평행봉(1)+다리올리기(1),산림과
금병산P021,경상남도 김해시 찬새내골우표전시관~금병산정상,3,하늘달리기(1)+하늘걷기(1)+등허리지압기(1),산림과
백두산P025,경상남도 김해시 대동초교~정상~원명사,23,역기대(2)+링매달리기(2)+철봉(1)+윗몸일으키기(5)+거꾸로매달리기(2)+허리돌리기(3)+마사지롤(2)+평행봉(1)+역기들기(1)+역기올리기(1)+하늘타기(2)+양팔줄당기기 (1),산림과
백두산P022,경상남도 김해시 육형제소나무,5,링매달리기(1)+등허리마사지(1)+허리돌리기(2)+거꾸로매달리기(1),산림과
봉화산P024,경상남도 김해시 한림 장방~봉화산 정상~한림 가산,15,등허리지압기(2)+철봉(4)+온몸근육풀기(2)+어깨근육풀기(2)+마라톤운동(2)+평행봉+허리돌리기(2),산림과
봉화산P043,경상남도 김해시 한림 장방~대통령의 숲길 ,5,등허리지압기(1)+철봉(1)+온몸근육풀기(1)+어깨근육풀기(1)+하늘마라톤(2),산림과
분성산,경상남도 김해시 분성산생태숲,6,달리기(1)+하늘걷기(1)+가로타기(1)+어깨운동(1)+허리돌리기(1)+자전거타기(1),산림과
분성산P210,경상남도 김해시 천문대 인근,15,하늘걷기(1)+허리돌리기(1)+가로타기(1)+어깨운동(1)+레그익스텐션(1)+체스트프레스(1)+버터플라이(1)+랫풀다운(1)+숄더프레스(1)+윗몸일으키기(1)+암컬머신(1)+벤치프레스(1)+평행봉(1)+3단철봉(1)+하이풀리머신(1),산림과
분성산P220,경상남도 김해시 게이트볼장~천문대방향,12,윗몸일으키기(1)+팔굽혀펴기(2)+매달리기(1)+3단철봉(1)+줄당기기(1)+가로타기(1)+어깨돌리기(1)+하늘걷기(1)+오금펴기대(1)+벤치프레스(1)+허리돌리기(1),산림과
"분성산P139, P147",경상남도 김해시 성조암,23,체스트프레스(1)+버터플라이(1)+레그익스텐션(1)+하이풀리머신(1)+역기밀기(1)+달리기(1)+복합운동기구(1)+벤치프레스(3)+평행봉(1)+윗몸일으키기(2)+팔굴혀펴기(1)+허리돌리기(1)+역기들어세우기(1)+매달리기(1)+다리스트레칭기(3)+2단철봉(1)+철봉(1)+구름사다리(1),산림과
분성산P160,경상남도 김해시 남재골,10,벤치프레스(2)+하늘걷기(1)+허리돌리기(1)+온몸어깨밀기(1)+철봉(1)+줄당기기(1)+달리기(1)+평행봉(1)+윗몸일으키기(1)+,산림과
분성산P165,경상남도 김해시 서재골약수터,18,가로타기(2)+하늘걷기(1)+윗몸일으키기(1)+어깨스트레칭기(1)+철봉(1)+허리돌리기(1)+하늘걷기(1)+윗몸일으키기(1)+앉아다리밀기(2)+달리기(2)+노젓기(1)+온몸역기밀기(1)+온몸역기내리기(1)+자전거타기(1)+팔관절운동(1),산림과
분성산P117,경상남도 김해시 만장대,20,철봉(2)+벤치프레스(2)+허리돌리기(1)+하늘걷기(1)+달리기(1)+온몸역기밀기(1)+평행봉(1)+윗몸일으키기(3)+허리돌리기(1)+다리스트레칭(1)+철봉(1)+오금펴기대(1)+레그익스텐션(1)+버터플라이(1)+체스트프레스(1)+랫풀다운(1),산림과
신어산P042,경상남도 김해시 신어산 산림욕장(은하사방면~정상~동림사방면),11,허리돌리기(1)+마라톤운동(1)+공중걷기(2)+노젓기(2)+어깨유연운동(1)+달리기(1)+로프당기기(1)+오금당기기(1)+등허리지압기(1),산림과
신어산P087,경상남도 김해시 하키장~김해대학,15,마라톤운동(2)+역기대(2)+오금올리기(1)+허리돌리기(2)+철봉(1)+평행봉(1)+온몸근육풀기(1)+거꾸로매달리기(1)+윗몸일으키기(1)+역기내리기(1)+공중걷기(1)+파도타기(1),산림과
신어산P150,경상남도 김해시 안동체육공원~불암장어마을,33,평행봉(3)+철봉(1)+윗몸일으키기(1)+노젓기(1)+가로하늘타기(3)+거꾸로매달리기(1)+허리돌리기(3)+팔굽혀펴기(1)+마라톤운동(1)+팔돌리기(1)+앉아역기올리기(1)+앉아역기들기(1)+역기대(2)+기구거치대(1) 등,산림과
임호산P021,경상남도 김해시 일동 한신아파트~함박산 정상,19,역기밀기(1)+하늘걷기(1)+허리돌리기(1)+윗몸일으키기(1)+허리돌리기(1)+벤치프레스(2)+윗몸일이크기(1)+철봉(1)+스트레칭기(2)+평행봉(1)+아령(1)+역기들기(1),산림과
작약산P002,경상남도 김해시 생림면 생철리 성포마을회관~구천암~풍혈지,4,허리돌리기(1)+역기대(1)+윗몸일으키기(1)+평행봉(1),산림과
황새봉,경상남도 김해시 주촌양동~냉정고개 입구,12,윗몸일으키기(3)+철봉(3)+역기대(2)+허리돌리기(2)+팔굽혀펴기(1)+오금당기기(1),산림과
칠산P011,경상남도 김해시 조만강~마찰교~칠산방면,11,다리뻗치기(1)+철봉(1)+온몸근육풀기(1)+역기올리기(1)+윗몸일으키기(1)+하늘걷기(1)+옆파도타기(1)+허리돌리기(1)+오금당기기(1)+로프당기기(1)+평행봉(1),산림과
천곡산성P002,경상남도 김해시 주촌 농협~황룡사~천곡이팝나무,6,철봉(2)+허리돌리기(1)+윗몸일으키기(1)+팔굽혀펴기(1)+평행봉(1),산림과
시랑산P001,경상남도 김해시 진영제일고등학교 뒤편,12,윗몸일으키기(2)+매달리기(1)+평행봉(1)+철봉(1)+팔굽혀펴기(1)+허리돌리기(1)+역기대(2)+오금당기기(2)+복부근력운동(1),산림과
주촌 석칠마을 뒷산,경상남도 김해시 주촌면 서부로1070번안길 172-14,3,윗몸일으키기(1)+평행봉(1)+오금당기기(1),산림과
진례 신기마을 뒷산,"경상남도 김해시 신기마을, 송정마을 뒷산",19,평행봉(2)+허리돌리기(2)+매달리기(2)+구름사다리(1)+달리기(1)+오금펴기(2)+무릎펴기(1)+역기대(2)+철봉(1)+윗몸일으키기(2)+오르고내리기(1)+하늘걷기(1)+팔굽혀펴기(1),산림과
황새봉P019,경상남도 김해시 양동산성  임도변,4,달리기(1)+팔관절운동(1)+가로타기(1)+양팔줄당기기(1),산림과
대동생태체육공원(대동선착장),경상남도 김해시 대동면 초정리 54-12,5,크로스컨트리(1)+체어플(1)+풀웨이트(1)+체어웨이트(1)+워밍암(1),하천과
대동생태체육공원(체육광장),경상남도 김해시 대동면 조눌리 38-1,10,트윈바디싯업(1)+풀웨이트(1)+크로스컨트리(1)+체어플(1)+워밍암(1)+스트레칭로라(1)+스텝사이클(1)+레그스트레치(1)+롤링웨이스트(1)+체어웨이트(1),하천과
대동생태체육공원(잔디광장),경상남도 김해시 대동면 조눌리 16-12,4,크로스컨트리(1)+체어풀(1)+체어웨이트(1)+워밍암(1),하천과
대동생태체육공원,경상남도 김해시 대동면 월촌리 12,2,체어웨이트(1)+크로스컨트리(1),하천과
대동생태체육공원(금관가야B),경상남도 김해시 대동면 월촌리 12,5,크로스컨트리(1)+체어플(1)+풀웨이트(1)+체어웨이트(1)+워밍암(1),하천과
대동생태체육공원(금관가야강변),경상남도 김해시 대동면 월촌리 289,6,크로스컨트리(1)+체어플(1)+풀웨이트(1)+체어웨이트(1)+워밍암(1)+트윈바디싯업(1),하천과
대동생태체육공원(대동면덕산리),경상남도 김해시 대동면 덕산리 118-2,4,달리기(0.5)+팔운동(0.5)+하늘걷기(1)+자전거타기(0.5)+가로타기(0.5)+자전거타기(0.5)+허리돌리기(0.5),하천과
매리야구장공원,경상남도 김해시 상동면 매리 14-2,6,달리기(1)+2단철봉(1)+노젓기(1)+윗몸일으키기(1)+허리돌리기(1)+파도타기(1),하천과
화현강변공원,경상남도 김해시 상동면 감노리 116-1,6,허리돌리기(1)+파도타기(1)+윗몸일으키기(1)+달리기(1)+2단철봉(1)+노젓기운동(1),하천과
감노강변공원,경상남도 김해시 상동면 감노리 264-72,6,허리돌리기(1)+파도타기(1)+윗몸일으키기(1)+달리기(1)+2단철봉(1)+노젓기운동(1),하천과
달무리수변공원B,경상남도 김해시 상동면 감노리 679-23,6,허리돌리기(1)+파도타기(1)+윗몸일으키기(1)+달리기(1)+2단철봉(1)+노젓기운동(1),하천과
달무리수변공원A,경상남도 김해시 상동면 여차리 59,6,허리돌리기(1)++윗몸일으키기(1)+노젓기운동(1)/ 달리기(1)+2단철봉(1)+파도타기(1) ,하천과
도요강변공원,경상남도 김해시 생림면 도요리 313-3,6,파도타기(1)+노젓기운동(1)+오금펴기(1)+공중걷기(1)+크로스컨트리(1)+허리돌리기(1),하천과
딴섬강변공원,경상남도 김해시 생림면 마사리 1370-2,5,파도타기(1)+윗몸일으키기(1)+어께유연성운동(1)+허리돌리기(1)+공중걷기(1),하천과
솔뫼생태공원,경상남도 김해시 한림면 시산리 506,6,스트레칭로라(1)+롤링웨이스트(1)+크로스컨트리(1)+꺼꾸리(1)+체어풀(1)+트윈워밍암(1),하천과
한림배수장공원,경상남도 김해시 한림면 시산리 122-2,6,양팔줄당기기(1)+가로타기(1)+자전거타기(1)+하늘걷기(1)+팔운동(1)+달리기(1),하천과
해반천,경상남도 김해시 강동 411,3,3단철봉+평행봉.가로타기,하천과
해반천,경상남도 김해시 전하동 60-1 ,6,윗몸일으키기+허리돌리기+역기올리기+2단철봉+달리기+다리뻗치기 (갯수:6),하천과
해반천,경상남도 김해시 구산동 1052-3 (구지마을 동원아파트),4,윗몸일으키기+옆파도타기+온몸돌리기+허리지압기 (갯수:4),하천과
해반천,경상남도 김해시 구산동 1008-12 (구산동 돼지국밥 맞은편),4,윗몸일으키기+옆파도타기+온몸돌리기+허리지압기 (갯수:4),하천과
해반천,경상남도 김해시 내동 1131 (문화의 전당 맞은편),5,허리돌리기+작은활차+구름걷기+앉아다리밀기+윗몸일으키기 (갯수:5),하천과
해반천,경상남도 김해시 구산동 218-3 (국립 박물관 앞),2,역기들러올리기+마라톤운동 (갯수:2),하천과
해반천,경상남도 김해시 내동 1-1 (현대 아파트 맞은편),5,윗몸일으키기+앉아다리밀기+구름걷기+작은활차+하리돌리기 (갯수:5),하천과
해반천,경상남도 김해시 봉황동 453-2 (백조 빌라 맞은편),2,철봉+평행봉+윗몸일으키기(2),하천과
해반천,경상남도 김해시 외동 123-2 (신세계 미치과 맞은편),5,윗몸일으키기+앉아다리밀기+구름걷기+허리돌리기+작은활차 (갯수:5),하천과
해반천,경상남도 김해시 봉황동 125-5 (봉황초교 맞은편),5,평행봉+파도타기+그네+허리돌리기+윗몸일키기(갯수:5),하천과
대청천,경상남도 김해시 무계동 307-1 (무계교 인근 아남 아파트 맞은편),11,허리돌리기(2)+큰활차+달리기+말타기+역기밀기+당기기+가로타기+윗몸일으키기 3단철봉+크로스스윙 (갯수:11),하천과
대청천,경상남도 김해시 대청동 823-4 (대청2교 밑 수변공원),3,허리돌리기+가로타기+달리기+하늘걷기 (갯수:3),하천과
신어천,경상남도 김해시 삼방동 679-1 삼방우체국 맞은편,15,거꾸로매달리기+체어풀(2인용)+달리기운동+하체흔들기+체스트프레스(2인용)+입식헬스싸이클+공중걷기+레그프레스(2인용)+온몸근육풀기+양팔줄당기기+윗몸일으키기+허리돌리기,하천과
대포천,경상남도 김해시 상동면대감리711-3,6,마라톤운동+옆파도타기(2인용)+온몸역기올리기(2인용)+하늘걷기(갯수:6개),하천과
대포천,경상남도 김해시 상동면대감리 1210-1,6,팔돌리기(2인용)+허리돌리기(2인용)+역기내리기(2인용),하천과
화포천,경상남도 김해시 진례면송정리 1177-13,12,파도타기(2인용)+상체근육풀기(2인용)공중걷기(2인용)+허리돌리기(2인용)+달리기운동(2인용)+등허리지압기(2인용),하천과
가마실공원,경상남도 김해시 부곡동 881-4,9,다라뻗히기(1)+마라톤(1)+하늘걷기(1)+온몸역기(1)+온몸근육풀기(1)+온몸허리돌리기(1)+거꾸로매달리기(1)+양팔줄당기기(2),생활지원과
무지개공원,경상남도 김해시 부곡동 801-7,3,윗몸일으키기(1)+가로타기(1)+허리돌리기(1),생활지원과
장구공원,경상남도 김해시 부곡동 805-3,3,하늘걷기(1)+원그리기(1)+말타기(1),생활지원과
알로기공원,경상남도 김해시 부곡동 1157-4,3,스텝싸이클(1)+크로스컨트리(1)+트리폴트위스트(1),생활지원과
산돌림공원,경상남도 김해시 부곡동 1162-2,6,온몸역기올리기(1)+온몸근육풀기(1)+앉아들어올리기(1)+윗몸일으키기(1)+허리돌리기(1)+마라톤(1),생활지원과
율하체육공원,경상남도 김해시 관동동 1123-1,8,윗몸일으키기(1)+이중평행봉(1)+3단철봉(1)+허리펴기(2)+등치기(3),생활지원과
반룡산공원,경상남도 김해시 관동동 산59-1일원,5,어깨유연성운동(1)+등허리지압기(1)+공중걷기(1)+허리돌리기(1)+파도타기(1),생활지원과
덕정공원,경상남도 김해시 관동동 421-1,6, 하늘걷기(1)+온몸허리돌리기(1)+윗몸일으키기(1)+양팔줄당기기(1)+허리돌리기(1)+평행봉(1),생활지원과
정자나무공원,경상남도 김해시 관동동 448-7,7,트리스트머신(1)+워킹트레이닝머신(1)+체스터업머신(1)+스윙워킹머신(1)+체스터풀머신(1)+서핑컬머신(1)+등허리지압기(1),생활지원과
관동고분공원,경상남도 김해시 관동동 460-1,5,등허리지압기(1)+온몸역기올리기(1)+온몸허리돌리기(1)+마라톤운동(1)+하늘걷기(1),생활지원과
맞담공원,경상남도 김해시 관동동 452-8,3,다리버티기(1)+온몽근육풀기(1)+온몸허리돌리기(1),생활지원과
도담공원,경상남도 김해시 관동동 434,3,트위스트머신(1)+스핑롤링머신(1)+스윙워킹머신(1),생활지원과
죽림공원,경상남도 김해시 관동동 1105-3,3,몸통돌리기(1)+윗몸일으키기(1)+철봉(1),생활지원과
화촌공원,경상남도 김해시 관동동 1075-7,5,가로타기(1)+달리기(1)+허리돌리기(1)+윗몸일츠키기(1)+매달리기(1),생활지원과
바위공원,경상남도 김해시 내덕동 223-4,6,윗몸일으키기(1)+가로타기(1)+매달려굽히기(1)+달리기(1)+앉아허리돌리기(1)+하늘걷기(1),생활지원과
젤미공원,경상남도 김해시 삼문동 695,8,하늘걷기(1)+온몸역기내리기(1)+온몸역기올리기(1)+등허리지압기(1)+온몸노젖기(1)+마라톤운동(1)+온몸근육풀기(1)+온몸허리돌리기(1),생활지원과
솜다리공원,경상남도 김해시 삼문동 62-13,4,원그리기(1)+가로하늘타기(1)+앉자밀기(1)+허리돌리기(1),생활지원과
단비공원,경상남도 김해시 삼문동,3,트윈트위스트(1)+체어웨이트(1)+레거프레스(1),생활지원과
개미공원,경상남도 김해시 삼문동 582-1,8,윗몸일으키기(1)+가로타기(1)+하늘걷기(1)+허리돌리기(1)+자전거타기(1)+가로타기(1)+달리기(1)+양팔줄당기기(1),생활지원과
수우공원,경상남도 김해시 삼문동 583-2,3,온몸허리돌리기(1)+하늘걷기(1)+어깨근육풀기(1),생활지원과
대청공원,경상남도 김해시 대청동 299,3,철봉(1)+평행봉(1)+윗몸일으키기(1),생활지원과
수변공원,경상남도 김해시 대청동 364일원,11,3단철봉(1)+이중평행봉(1)+허리돌리기(3)+하늘걷기(1)+가로타기(1)+윗몸일으키기(1)+팔운동(1)+복근기르기(1)+팔굽혀펴기(1),생활지원과
청미래공원,경상남도 김해시 대청동 320-3,3,마라톤(1)+윗몸일으키기(1)+철봉(1),생활지원과
또바기공원,경상남도 김해시 대청동 321-3,5,어깨근육풀기(1)+마라톤(1)+하늘걷기(1)+옆파도타기(1)+등허리지압기(1),생활지원과
