설치주소,설치기구 종류,담당부서,설치년도
충청남도 청양군 정산면 역촌리 838,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2012
충청남도 청양군 정산면 서정리 355-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2012
충청남도 청양군 정산면 서정리 293-9,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2012
충청남도 청양군 정산면 정현2길 5-1,공중걷기1개+ 허리돌리기1개+ 어깨근육풀기1개+ 다리뻗치기1개,문화체육관광과,2013
충청남도 청양군 정산면 서정리 516-2,공중걷기1개+ 허리돌리기1개+ 등허리지압기1개+ 매달리기운동회전하기 1개,문화체육관광과,2013
충청남도 청양군 정산면 백곡리 110-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 정산면 광생리 377-2,공중걷기1개+ 허리돌리기1개+ 활차머신1개,문화체육관광과,2013
충청남도 청양군 정산면 송학리 139-2,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 정산면 내초리 79,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 정산면 와촌리 148-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 정산면 학암리 404-3,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 정산면 해남리 236-2,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 정산면 광생리 346-7,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 정산면 해남리 136,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2014
충청남도 청양군 정산면 마치리 153,공중걷기1개+ 허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2014
충청남도 청양군 정산면 백곡리 493-12,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 정산면 남천리 127-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 정산면 신덕리 195-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 정산면 덕성리 471-5,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 정산면 대박리 441,허리돌리기1개+ 상체근육풀기1개+ 달리기유형1개,농촌공동체과,2016
충청남도 청양군 정산면 남천리 179-4,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2018
"충청남도 청양군 정산면 서정리 142-3, 서정리 142-5",공중걷기1개+ 파도타기1개+ 달리기유형1개,문화체육관광과,2019
충청남도 청양군 정산면 마치리 431-1,공중걷기1개+  허리돌리기1개+  상체근육풀기1개,문화체육관광과,2012
충청남도 청양군 정산면 서정리 47-1,노젓기 1개+ 어깨근육풀기 1개+ 공중걷기 1개,문화체육관광과,2012
충청남도 청양군 정산면 서정리 산 1-1 임야,허리돌리기2개+공중걷기1개+상체근육풀기1개+노젖기1개,문화체육관광과,2012
충청남도 청양군 정산면 서정리 563,로프당기기+_상체근육풀기1개+공중걷기+허리돌리기1개+역기올리기1개,문화체육관광과,2019
충청남도 청양군 정산면 서정리 101-5,달리기운동1개+ 허리돌리기1개+ 활자머신1개+ 공중걷기 1개+ 역기올리기 1개, , 
충청남도 청양군 목면 지곡리 264-1,공중걷기1개+ 상체근육풀기1개,문화체육관광과,"2012년 이전, 2022"
충청남도 청양군 목면 지곡리 111-1,허리돌리기1개+ 역기올리기1개,문화체육관광과,2012년 이전
충청남도 청양군 목면 대평리 322-8,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2012년 이전
충청남도 청양군 목면 화양리 768,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2012년 이전
충청남도 청양군 목면 화양리 312-3,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2012
충청남도 청양군 목면 대평리 576-1,공중걷기1개+ 허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 목면 본의리 556,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 목면 신흥리 296-2,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 목면 신흥리 366-3,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 목면 송암리 186-28,파도타기1개+ 허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 목면 대평리 31-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2018
충청남도 청양군 목면 대평리 576-1,등허리지압기1개+ 자전거타기1개,문화체육관광과,2018
충청남도 청양군 목면 신흥리 296-2,공중걷기1개,문화체육관광과,2018
충청남도 청양군 목면 본의리 266-3,허리돌리기1개+ 상체근육풀기1개, , 
충청남도 청양군 목면 본의리 155-1,허리돌리기1개+ 공중걷기1개,문화체육관광과,2019
