읍면동,설치위치,운동기구명,설치년도(년),설치업체,고장현황
영인면,영인면 성내리 744-6,"달리기운동+하늘걷기, 노젓기+활차머신, 역기올리기",2015,㈜개선스포츠,해당없음
영인면,영인면 구성리 334-2,"다리뻗치기, 하늘걷기, 옆파도타기",2015,㈜오리온햄프로,해당없음
인주면,인주면 공세리 149-3,"등허리지압+노젓기, 하늘걷기+자전거타기",2018,명성이앤비㈜,해당없음
인주면,인주면 문방리 51-8,"등허리지압+노젓기, 활차머신+양팔줄당기기",2018,명성이앤비㈜,해당없음
인주면,인주면 금성리 183-1,"등허리지압+노젓기, 역기올리기",2018,명성이앤비㈜,해당없음
인주면,인주면 도흥리 203-5,"다리뻗치기+옆파도타기, 허리돌리기, 활차머신",2016,㈜오리온햄프로,해당없음
인주면,인주면 신성리 432,"옆파도타기, 다리뻗치기",2016,더플레이,해당없음
인주면,인주면 문방리 산54-1,"허리돌리기, 옆파도타기",2016,㈜오리온햄프로,해당없음
인주면,인주면 해암리 280-4,"옆파도타기+하늘걷기, 허리돌리기+윗몸일으키기",2016,더플레이,해당없음
인주면,인주면 대음리 322-4,"허리돌리기, 등허리지압, 달리기운동, 레그암",2015,한성파크,해당없음
선장면,선장면 대흥리 304-57,"옆파도타기, 활차머신, 달리기운동+하늘걷기, 윗몸일으키기+등허리지압,활차머신",2018,㈜개선스포츠,해당없음
선장면,선장면 장곳리 457,"윗몸일으키기+등허리지압, 달리기운동+다리근육풀기, 역기올리기+활차머신,활차머신",2017,㈜개선스포츠,해당없음
선장면,선장면 신동리 171-10(신동2리),"역기올리기, 달리기운동+하늘걷기, 역기올리기+활차머신",2017,㈜개선스포츠,해당없음
선장면,선장면 신성리 132-7(신성1리),"달리기운동+하늘걷기, 옆파도타기, 달리기운동+허리돌리기, 노젓기",2016,㈜개선스포츠,해당없음
선장면,선장면 죽산리 23,"달리기운동+허리돌리기, 달리기운동+하늘걷기, 역기올리기+활차머신",2016,㈜개선스포츠,해당없음
선장면,선장면 대흥리 283-2,"달리기운동+하늘걷기, 다리뻗치기, 역기올리기",2015,㈜개선스포츠,해당없음
선장면,선장면 군덕리 832,"다리뻗치기, 윗몸일으키기",2015,㈜개선스포츠,해당없음
선장면,선장면 선창리 187-17,"옆파도타기, 달리기운동+하늘걷기, 허리돌리기+활차머신, 활차머신",2015,㈜개선스포츠,해당없음
도고면,도고면 와산리 142-2,"달리기운동+하늘걷기, 양팔줄당기기+활차머신, 다리근육풀기+등허리지압,윗몸일으키기+허리돌리기",2019,명성이앤비㈜,해당없음
도고면,도고면 와산리 250-1,"다리뻗치기, 허리돌리기, 옆파도타기, 철봉+양팔줄당기기",2019,㈜오리온햄프로,해당없음
도고면,도고면 도산리 128-2,"허리돌리기, 옆파도타기",2019,㈜오리온햄프로,해당없음
도고면,도고면 신언리 827,"하늘걷기, 옆파도타기, 계단걷기, 허리돌리기, 달리기운동+활차머신",2019,호진기계주식회사,해당없음
도고면,도고면 신언리 171(신언3리),"달리기운동, 다리뻗치기, 역기올리기",2018,㈜개선스프츠,해당없음
도고면,도고면 시전리 581-79,"양팔줄당기기+활차머신, 달리기운동+하늘걷기, 활차머신+자전거타기",2018,명성이앤비㈜,해당없음
도고면,도고면 시전리 484(시전1리),"허리돌리기, 옆파도타기",2018,㈜오리온햄프로,해당없음
도고면,도고면 신언리 825(신언3리),"옆파도타기, 활차머신, 달리기운동+하늘걷기, 역기올리기+활차머신",2018,㈜개선스포츠,해당없음
도고면,도고면 신통리 235-2,"허리돌리기, 윗몸일으키기+등허리지압, 하늘걷기+옆파도타기",2017,㈜개선스포츠,해당없음
도고면,도고면 기곡리 213-4(기곡2리),"옆파도타기+허리돌리기, 활차머신, 하늘걷기, 다리뻗치기",2016,㈜제일체육공사,해당없음
도고면,도고면 신언리 134-4(신언2리),"옆파도타기, 활차머신, 달리기운동+하늘걷기, 활차머신",2015,㈜개선스프츠,해당없음
